is_paid,price,num_subscribers,num_reviews,num_lectures,level,content_duration,published_timestamp.1,subject,year,month,Day,Quarter,Profit,Duration_Category,Price_category,course_title_cleaned
FALSE,0,1514,66,11,Beginner Level,0.55,2017-03-23 22:19:57+00:00,Business Finance,2017,March,Thursday,1,0,0:01:00,Free,Options Trading : The Basics
FALSE,0,50855,2698,15,Beginner Level,1.5,2013-12-25 19:53:34+00:00,Business Finance,2013,December,Wednesday,4,0,1:03:00,Free,Stock Market Investing for Beginners
FALSE,0,17160,620,23,All Levels,1,2014-08-29 20:10:38+00:00,Business Finance,2014,August,Friday,3,0,0:01:00,Free,Fundamentals of Forex Trading
FALSE,0,6811,151,51,All Levels,2,2016-08-05 17:03:15+00:00,Business Finance,2016,August,Friday,3,0,3:07:00,Free,Website Investing  - Buying & Selling Online Businesses
FALSE,0,19339,794,9,Beginner Level,2,2014-03-31 21:35:06+00:00,Business Finance,2014,March,Monday,1,0,3:07:00,Free,Stock Market Foundations
FALSE,0,29167,1463,8,Intermediate Level,1.5,2014-05-27 16:22:16+00:00,Business Finance,2014,May,Tuesday,2,0,1:03:00,Free,Introduction to Financial Modeling
FALSE,0,11724,649,17,Beginner Level,1.5,2016-03-04 05:58:09+00:00,Business Finance,2016,March,Friday,1,0,1:03:00,Free,Corporate Finance - A Brief Introduction
FALSE,0,56659,4397,16,Beginner Level,1.5,2013-04-07 21:39:25+00:00,Business Finance,2013,April,Sunday,2,0,1:03:00,Free,Accounting in  Minutes - A Brief Introduction
FALSE,0,3775,138,11,Beginner Level,2,2017-05-01 21:18:54+00:00,Business Finance,2017,May,Monday,2,0,3:07:00,Free,Introduction to Cryptocurrencies and Blockchain
FALSE,0,4077,281,20,Beginner Level,1.5,2016-08-18 21:57:04+00:00,Business Finance,2016,August,Thursday,3,0,1:03:00,Free,Trading Options For Consistent Returns: Options Basics
FALSE,0,5874,207,9,Intermediate Level,2,2014-06-26 02:00:55+00:00,Business Finance,2014,June,Thursday,2,0,3:07:00,Free,Binary Options Course - Level 
